papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
SLED3,7.32,0.46,-0.19,0.851,0.0,0.515,-0.66,-1.0,-0.15,-2.1,-2.8,-0.8495,1.8425,-1.2367,-0.41729999999999995,0.27,4242.86,-365842000.0,-0.23,-0.5497
SLED4,2.7,0.17,-0.07,0.314,0.0,0.19,-0.24,-0.37,-0.06,-1.47,-1.96,-0.8495,1.8425,-1.2367,-0.41729999999999995,0.27,14892.4,-365842000.0,-0.23,-0.5497
SMFT3,14.17,-30.13,2.0,3.166,0.0,0.748,4.78,118.93,-2.26,124.14,9.17,0.026600000000000002,-0.1036,0.0086,-0.0665,2.14,23904300.0,4147930000.0,0.74,0.1998
SMLE3,92.82,18.88,21.91,6.635,0.0,6.477,-124.0,16.5,-42.31,16.32,13.2,0.4022,0.3514,0.4617,1.1604,0.91,0.0,524731000.0,0.0,0.36829999999999996
SMLS3,22.4,10.78,4.09,4.212,0.0,1.017,18.78,10.37,-6.72,10.13,9.06,0.40619999999999995,0.3907,0.1069,0.3796,1.1,0.0,679678000.0,0.0,-0.222
SMTO3,24.87,6.49,1.61,1.399,0.045599999999999995,0.487,3.19,4.46,-1.31,8.22,4.24,0.31379999999999997,0.2155,0.12689999999999999,0.2488,1.87,52621200.0,5452020000.0,1.71,0.174
SNSY5,3.34,-0.15,-0.02,0.031,0.0,0.056,-0.6,-1.25,-0.01,-7.14,-67.89,-0.025099999999999997,-0.2086,-0.0526,0.10619999999999999,0.86,7166.35,-1607740000.0,-0.08,0.20010000000000003
SOJA3,10.39,10.33,1.66,0.82,0.0105,0.726,2.8,10.02,3.9,10.54,10.36,0.0818,0.0793,0.13470000000000001,0.16079999999999997,1.58,2791060.0,732501000.0,0.66,0.7023
SOMA3,10.49,26.76,1.11,1.74,0.0086,0.791,5.37,16.55,78.1,18.49,12.92,0.1051,0.065,0.0524,0.0415,1.98,92306500.0,7413640000.0,0.15,1.3081
SOND3,46.01,6.9,1.95,0.937,0.1311,1.246,3.97,4.59,5.92,3.37,3.13,0.20420000000000002,0.1358,0.414,0.28309999999999996,2.21,0.0,57907000.0,0.0,0.2259
SOND5,31.21,4.68,1.32,0.635,0.2126,0.845,2.69,3.11,4.02,1.9,1.76,0.20420000000000002,0.1358,0.414,0.28309999999999996,2.21,217.26,57907000.0,0.0,0.2259
SOND6,32.35,4.85,1.37,0.659,0.2051,0.876,2.79,3.23,4.16,2.01,1.87,0.20420000000000002,0.1358,0.414,0.28309999999999996,2.21,75.23,57907000.0,0.0,0.2259
